"Województwo","Powiat","Gmina","Teryt","Liczba.wyborców.uprawnionych.do.głosowania","Komisja.otrzymała.kart.do.głosowania","Nie.wykorzystano.kart.do.głosowania","Liczba.wyborców..którym.wydano.karty.do.głosowania","Liczba.wyborców.głosujących.przez.pełnomocnika","Liczba.wyborców.głosujących.na.podstawie.zaświadczenia","Liczba.wyborców..którym.wysłano.pakiety.wyborcze","Liczba.otrzymanych.kopert.zwrotnych","w.których.nie.było.oświadczenia","w.których.oświadczenie.nie.było.podpisane","w.których.nie.było.koperty.na.kartę.do.głosowania","w.których.znajdowała.się.niezaklejona.koperta","Liczba.kopert.na.kartę.do.głosowania.wrzuconych.do.urny","Liczba.kart.wyjętych.z.urny","w.tym.liczba.kart.wyjętych.z.kopert","Liczba.kart.nieważnych","Liczba.kart.ważnych","Liczba.głosów.nieważnych","Liczba.głosów.ważnych","RAZEM","Grzegorz.Michał.BRAUN","Andrzej.Sebastian.DUDA","Adam.Sebastian.JARUBAS","Bronisław.Maria.KOMOROWSKI","Janusz.Ryszard.KORWIN.MIKKE","Marian.Janusz.KOWALSKI","Paweł.Piotr.KUKIZ","Magdalena.Agnieszka.OGÓREK","Janusz.Marian.PALIKOT","Paweł.Jan.TANAJNO","Jacek.WILK"
"pomorskie","kościerski","gm. Lipusz","220606",2751,2400,943,1457,0,15,0,0,0,0,0,0,0,1457,0,0,1457,11,1446,1446,14,604,11,475,39,7,251,35,6,1,3
"pomorskie","kościerski","gm. Liniewo","220605",3600,3000,1296,1704,0,16,1,0,0,0,0,0,0,1703,0,0,1703,7,1696,1696,10,637,14,677,42,5,242,51,8,4,6
"pomorskie","kościerski","gm. Dziemiany","220602",3322,2795,1112,1683,1,30,0,0,0,0,0,0,0,1683,0,0,1683,11,1672,1672,11,809,23,484,33,4,259,37,7,0,5
"pomorskie","kościerski","gm. Nowa Karczma","220607",4984,4300,2056,2244,0,13,0,0,0,0,0,0,0,2244,0,0,2244,17,2227,2227,16,818,28,913,30,6,333,47,22,5,9
"pomorskie","kościerski","gm. Kościerzyna","220604",11446,9798,3976,5822,0,52,3,3,0,0,0,0,3,5825,3,0,5825,57,5768,5768,48,2265,52,2116,113,52,938,116,36,12,20
"pomorskie","kościerski","m. Kościerzyna","220601",18323,15718,6588,9131,3,61,9,9,0,0,0,0,9,9140,9,2,9138,73,9065,9065,81,2943,57,3873,206,44,1570,186,71,10,24
"pomorskie","kościerski","gm. Karsin","220603",4780,4090,1706,2385,0,39,1,0,0,0,0,0,0,2385,0,1,2384,19,2365,2365,8,902,24,937,41,7,371,48,18,2,7
"pomorskie","kościerski","gm. Stara Kiszewa","220608",5170,4404,2170,2234,0,30,0,0,0,0,0,0,0,2234,0,0,2234,12,2222,2222,13,858,49,802,53,14,365,43,17,1,7
"pomorskie","kwidzyński","gm. Sadlinki","220706",4477,3907,2132,1775,0,5,2,2,0,0,0,0,2,1777,2,0,1777,20,1757,1757,5,613,24,553,82,9,408,37,21,0,5
"pomorskie","kwidzyński","m. Kwidzyn","220701",30201,26030,12132,13898,10,68,8,8,1,0,0,0,7,13903,7,0,13903,105,13798,13798,89,3714,78,5735,521,72,2977,370,171,16,55
"pomorskie","kwidzyński","gm. Kwidzyn","220703",8482,7199,3807,3392,0,13,2,2,0,0,0,0,2,3394,2,0,3394,26,3368,3368,14,1031,43,1230,105,28,774,96,27,2,18
"pomorskie","kwidzyński","gm. Gardeja","220702",6463,5504,3433,2071,1,9,1,1,0,0,0,0,1,2072,1,0,2072,11,2061,2061,4,654,30,803,62,8,399,78,18,1,4
"pomorskie","kwidzyński","gm. Prabuty","220704",10450,9055,5166,3889,0,24,0,0,0,0,0,0,0,3889,0,0,3889,36,3853,3853,21,1189,42,1497,136,24,747,123,47,6,21
"pomorskie","kwidzyński","gm. Ryjewo","220705",4385,3861,2356,1505,3,7,0,0,0,0,0,0,0,1505,0,0,1505,12,1493,1493,9,381,20,709,38,13,244,52,17,5,5
"pomorskie","lęborski","gm. Nowa Wieś Lęborska","220804",10206,8809,4242,4567,0,21,0,0,0,0,0,0,0,4567,0,0,4567,127,4440,4440,43,1383,37,1849,138,19,807,97,52,3,12
"pomorskie","lęborski","gm. Wicko","220805",4505,3903,2388,1515,0,6,0,0,0,0,0,0,0,1515,0,0,1515,31,1484,1484,2,352,14,700,49,13,268,48,26,1,11
"pomorskie","lęborski","gm. Cewice","220803",5349,4595,2334,2261,0,13,0,0,0,0,0,0,0,2258,0,1,2257,25,2232,2232,15,648,18,1006,47,10,397,46,21,4,20
"pomorskie","lęborski","m. Lębork","220801",27314,23587,10239,13348,9,53,3,2,0,0,0,0,2,13350,2,1,13349,121,13228,13228,105,3552,87,5874,463,57,2469,343,187,17,74
"pomorskie","lęborski","m. Łeba","220802",3423,2802,1140,1662,0,172,1,1,0,0,0,0,1,1663,1,0,1663,23,1640,1640,13,386,11,784,73,6,292,43,21,2,9
"pomorskie","malborski","gm. Nowy Staw","220907",5984,5215,3014,2201,4,8,0,0,0,0,0,0,0,2199,0,0,2199,39,2160,2160,15,629,44,795,67,11,525,55,14,2,3
"pomorskie","malborski","gm. Lichnowy","220903",3597,3100,1755,1345,0,3,0,0,0,0,0,0,0,1345,0,0,1345,11,1334,1334,9,385,22,572,34,13,248,33,14,0,4
"pomorskie","malborski","gm. Miłoradz","220906",2708,2300,1254,1046,1,2,0,0,0,0,0,0,0,1046,0,0,1046,6,1040,1040,5,290,20,449,22,10,214,15,6,1,8
"pomorskie","malborski","gm. Stare Pole","220908",3666,3087,1703,1384,0,2,0,0,0,0,0,0,0,1384,0,0,1384,11,1373,1373,3,327,22,641,41,6,280,28,17,4,4
"pomorskie","malborski","m. Malbork","220901",30701,26875,12955,13919,10,62,14,13,2,0,0,0,11,13931,11,1,13930,124,13806,13806,79,3339,100,6136,418,54,2970,387,231,16,76
"pomorskie","malborski","gm. Malbork","220904",3696,3200,1777,1423,0,1,0,0,0,0,0,0,0,1423,0,0,1423,11,1412,1412,12,378,43,572,55,4,279,41,18,2,8
"pomorskie","nowodworski ","gm. Nowy Dwór Gdański","221002",14153,12176,6643,5533,1,22,4,4,1,0,0,0,4,5537,4,0,5537,30,5507,5507,29,1338,74,2429,153,27,1188,146,76,14,33
"pomorskie","nowodworski ","gm. Ostaszewo","221003",2522,2207,1226,981,1,3,0,0,0,0,0,0,0,981,0,0,981,6,975,975,16,275,27,418,28,3,167,28,7,4,2
"pomorskie","nowodworski ","m. Krynica Morska","221001",1391,1000,204,796,0,240,0,0,0,0,0,0,0,796,0,0,796,3,793,793,5,164,5,447,20,1,114,15,20,0,2
"pomorskie","nowodworski ","gm. Stegna","221004",8085,6883,3478,3405,0,193,1,1,0,0,0,0,1,3406,1,0,3406,34,3372,3372,20,814,67,1581,91,17,639,66,52,7,18
"pomorskie","nowodworski ","gm. Sztutowo","221005",2990,2501,1238,1263,0,42,0,0,0,0,0,0,0,1263,0,0,1263,15,1248,1248,8,255,24,564,43,1,291,37,19,3,3
"pomorskie","pucki","m. Jastarnia","221102",3337,2796,899,1897,1,258,4,4,0,0,0,0,4,1900,4,0,1900,11,1889,1889,20,674,6,750,52,6,338,23,10,3,7
"pomorskie","pucki","m. Puck","221103",8875,7917,3298,4619,6,23,0,0,0,0,0,0,0,4616,0,0,4616,47,4569,4569,38,996,28,2285,120,14,897,92,70,11,18
"pomorskie","pucki","gm. Puck","221107",18532,15927,6774,9153,0,34,1,1,0,0,0,0,1,9154,1,0,9154,79,9075,9075,89,2698,86,3565,296,33,2025,154,80,14,35
"pomorskie","pucki","gm. Kosakowo","221105",9381,7923,2434,5489,1,31,3,3,0,0,0,0,3,5490,3,0,5490,43,5447,5447,54,1238,36,2276,212,27,1349,102,95,13,45
"pomorskie","pucki","gm. Władysławowo","221104",12347,10295,3503,6792,4,398,0,0,0,0,0,0,0,6791,0,3,6788,52,6736,6736,60,1461,39,2929,203,15,1784,117,83,13,32
"pomorskie","pucki","m. Hel","221101",2977,2651,1191,1460,1,73,1,0,0,0,0,0,0,1460,0,1,1459,12,1447,1447,6,264,10,697,50,1,342,38,32,1,6
"pomorskie","pucki","gm. Krokowa","221106",8150,6989,3128,3861,0,60,1,1,0,0,0,0,1,3862,1,0,3862,47,3815,3815,40,1167,49,1624,118,19,642,87,47,2,20
"pomorskie","słupski","gm. Kępice","221205",7209,6301,3534,2767,0,14,0,0,0,0,0,0,0,2767,0,0,2767,25,2742,2742,3,714,39,1299,107,9,435,75,51,3,7
"pomorskie","słupski","gm. Smołdzino","221209",2734,2400,1402,998,0,28,0,0,0,0,0,0,0,998,0,0,998,5,993,993,4,321,12,433,19,5,167,19,9,1,3
"pomorskie","słupski","m. Ustka","221201",13612,11603,4998,6605,3,487,11,11,0,0,0,0,11,6615,11,0,6615,59,6556,6556,26,1743,66,2891,164,18,1226,225,161,12,24
